--- FOREST DATA ---
Total Trees: 702
Total Lip Vertices: 308

--- TREES (X, Y) ---
95,399
102,293
346,36
406,273
135,308
71,137
152,381
433,102
372,307
133,57
130,143
88,14
140,499
384,189
389,132
75,162
419,130
333,5
418,278
367,204
126,476
169,426
111,218
193,142
112,296
91,74
172,58
411,142
401,156
432,402
123,420
91,297
121,327
424,226
223,5
441,9
357,145
89,466
402,444
369,231
135,481
76,3
94,87
165,170
193,116
383,225
149,196
94,508
444,142
410,39
102,318
365,102
359,86
137,124
310,36
421,143
320,473
91,135
433,86
94,377
172,452
436,20
356,181
330,86
148,457
155,324
408,12
135,106
370,250
384,154
123,346
104,252
338,266
424,474
396,307
395,219
401,28
79,415
88,189
152,508
199,507
170,389
359,246
106,85
442,69
147,158
73,100
144,116
132,395
190,474
95,217
378,274
366,76
96,447
414,293
113,286
142,39
334,318
408,167
193,374
181,145
378,50
417,49
218,33
409,261
360,280
139,328
322,142
160,477
120,392
440,52
73,310
341,96
379,79
204,100
121,176
181,500
424,93
156,88
341,221
119,496
111,160
347,240
403,456
93,175
167,71
64,234
68,425
136,200
78,439
439,34
403,200
116,459
81,126
158,363
83,264
405,499
68,336
375,438
445,178
351,341
424,7
446,382
338,147
130,294
423,78
151,126
120,116
355,72
441,459
380,321
120,97
373,113
331,32
369,4
399,253
94,102
196,13
390,165
423,464
194,490
365,127
174,490
323,218
93,243
98,143
396,92
114,357
190,48
332,168
79,291
96,277
161,144
204,6
373,263
173,116
74,18
131,278
409,131
84,33
230,21
429,445
319,45
383,446
84,340
81,359
432,494
98,56
337,178
425,120
368,415
74,389
143,368
144,387
85,199
321,118
352,135
156,426
88,329
114,313
69,380
85,397
145,319
412,317
65,264
357,209
421,490
146,78
312,7
140,353
111,486
174,28
436,156
421,28
371,451
149,493
89,368
227,478
446,117
108,43
112,238
377,374
342,78
376,30
338,106
160,457
118,407
415,236
421,508
383,119
392,2
349,282
149,17
151,435
373,293
149,482
420,173
103,329
108,208
212,480
167,498
343,250
386,435
77,207
283,501
152,216
111,190
382,10
106,451
443,481
382,63
126,158
125,19
433,417
131,506
393,36
419,186
316,507
179,471
105,7
355,319
317,26
136,9
346,173
187,459
93,421
167,84
386,504
174,131
408,64
401,243
115,263
393,457
204,36
213,493
388,201
93,266
74,68
102,305
115,275
363,13
105,95
345,207
202,61
407,226
273,491
77,482
165,207
96,46
69,399
393,490
136,158
142,425
369,426
122,229
108,26
80,59
351,272
139,180
393,103
421,414
378,177
70,152
444,445
155,114
73,253
220,20
212,508
438,372
372,194
94,432
268,500
135,227
84,378
222,511
392,382
401,119
107,428
371,163
187,153
328,131
156,165
147,57
84,502
110,367
437,196
159,20
382,98
177,45
89,287
386,350
340,308
77,460
138,338
312,65
64,76
75,239
316,91
332,299
241,497
355,418
186,362
412,110
156,444
360,295
100,354
363,354
383,246
185,386
105,475
152,402
78,186
358,227
371,136
74,505
330,75
321,12
206,470
365,338
404,190
331,57
163,120
118,253
332,199
353,7
65,284
391,54
188,509
145,169
171,105
379,145
82,216
184,37
411,23
99,197
337,118
418,427
169,368
168,407
103,438
342,56
113,72
75,325
445,402
149,96
431,165
107,509
163,52
140,443
190,75
424,110
66,54
313,135
343,159
120,436
71,45
346,195
153,469
360,165
130,363
94,491
391,231
147,228
121,148
345,46
203,49
136,78
85,228
394,286
411,80
118,508
69,180
151,148
372,216
70,347
354,261
142,287
194,395
365,46
435,382
409,465
127,1
65,91
327,503
76,114
89,1
117,4
106,395
121,30
386,261
385,390
81,279
129,130
192,59
120,304
132,425
433,60
377,203
396,73
367,175
344,14
161,336
338,276
134,248
437,220
70,449
168,468
353,58
239,3
442,425
118,85
416,401
174,156
141,415
390,180
352,355
172,344
64,390
95,480
142,465
163,4
365,26
356,118
181,376
64,462
173,509
346,126
67,490
106,108
346,326
358,429
70,296
375,395
186,20
162,377
146,135
381,302
331,42
126,383
421,66
96,33
153,68
110,175
414,2
415,220
64,197
66,368
67,27
176,357
373,351
128,335
91,348
424,245
90,119
417,451
421,201
191,91
203,128
99,228
102,464
110,147
123,55
185,446
355,25
87,314
106,269
332,330
310,471
180,94
128,91
386,467
187,107
439,232
354,305
129,454
329,98
389,82
153,2
339,23
393,318
404,298
155,353
419,153
127,318
144,300
438,128
235,485
124,194
146,206
423,212
341,347
122,65
337,238
176,8
67,480
363,388
321,108
112,132
106,62
85,109
64,5
98,15
86,165
387,213
130,215
362,269
161,130
430,39
82,90
64,167
446,43
330,477
338,136
204,85
187,127
129,444
431,179
303,511
174,435
130,41
398,470
161,34
115,335
412,440
438,394
139,378
370,328
366,185
204,377
444,210
179,396
334,255
399,264
139,28
303,138
99,167
73,470
323,0
409,178
74,227
381,0
429,134
436,435
109,385
98,411
183,484
409,251
126,486
244,19
228,496
175,169
67,274
163,511
100,119
166,355
322,152
347,297
430,237
191,4
370,318
395,392
200,74
100,366
408,488
160,155
141,218
84,430
102,497
78,405
122,204
203,23
442,502
317,463
407,424
309,18
311,75
65,107
372,63
443,415
84,248
388,275
320,56
64,504
85,44
163,187
402,52
379,129
155,177
436,468
131,169
309,48
149,28
335,289
413,91
356,331
66,415
411,510
102,74
112,228
394,297
442,94
124,286
108,416
123,372
156,415
211,14
374,19
94,388
411,411
65,438
102,344
340,68
88,152
285,488
362,155
354,98
143,88
203,112
161,396
161,222
404,213
331,225
75,196
399,131
334,188
404,287
67,212
394,18
141,403
443,105
113,15
322,207
218,469
154,47
163,96
413,475
128,238
194,33
390,143
367,146
375,463
393,331
158,78
262,482
159,492
332,158
141,49
148,345
383,456
82,144
368,91
116,446
77,494
180,81
445,163
414,120
144,238
84,449
427,51
372,282
115,474
427,389

--- LIP GEOMETRY (X, Y) ---
64,0
68,0
72,0
76,0
80,0
84,0
88,0
92,0
96,0
100,0
104,0
108,0
112,0
116,0
120,0
124,0
128,0
132,0
136,0
140,0
144,0
148,0
152,0
156,0
160,0
164,0
168,0
172,0
176,0
180,0
184,0
188,0
192,0
196,0
200,0
204,0
208,0
212,0
216,0
220,0
224,0
228,0
232,0
236,0
240,0
244,0
248,0
252,0
312,0
316,0
320,0
324,0
328,0
332,0
336,0
340,0
344,0
348,0
352,0
356,0
360,0
364,0
368,0
372,0
376,0
380,0
384,0
388,0
392,0
396,0
400,0
404,0
408,0
412,0
416,0
420,0
424,0
428,0
432,0
436,0
440,0
444,0
64,4
64,8
308,8
308,12
64,16
64,20
244,20
64,24
308,24
64,28
64,32
224,32
308,32
64,36
308,36
64,40
64,44
64,48
212,48
64,52
64,56
308,56
64,60
64,64
308,64
64,68
64,72
64,76
64,80
208,80
312,80
64,84
64,88
64,92
64,96
64,100
64,104
316,104
64,108
316,108
64,112
64,116
64,120
208,120
312,120
64,124
64,128
308,128
64,132
64,136
64,140
64,144
200,144
64,148
64,152
64,156
196,156
64,160
188,160
64,164
180,164
64,168
64,172
176,172
328,172
64,176
328,176
64,180
328,180
64,184
328,184
64,188
328,188
64,192
64,196
64,200
168,200
64,204
64,208
64,212
444,212
64,216
164,216
64,220
164,220
64,224
160,224
328,224
64,228
152,228
336,228
440,228
64,232
148,232
64,236
64,240
144,240
436,240
64,244
64,248
64,252
64,256
132,256
64,260
64,264
64,268
136,268
336,268
64,272
336,272
420,272
64,276
64,280
336,280
64,284
336,284
64,288
64,292
64,296
332,296
64,300
64,304
140,304
64,308
136,308
64,312
64,316
332,316
64,320
412,320
64,324
64,328
64,332
164,332
64,336
168,336
64,340
392,340
64,344
64,348
180,348
340,348
64,352
64,356
64,360
376,360
64,364
196,364
64,368
196,368
64,372
196,372
200,372
64,376
204,376
64,380
64,384
200,384
400,384
64,388
200,388
64,392
396,392
64,396
388,396
392,396
64,400
64,404
64,408
176,408
64,412
356,412
376,412
64,416
172,416
64,420
352,420
64,424
404,424
64,428
352,428
64,432
356,432
64,436
64,440
64,444
368,444
64,448
64,452
64,456
64,460
192,460
64,464
64,468
200,468
204,468
208,468
212,468
312,468
64,472
224,472
328,472
64,476
64,480
388,480
64,484
260,484
276,484
320,484
64,488
64,492
84,492
92,492
240,492
64,496
64,500
280,500
328,500
384,500
64,504
236,504
260,504
268,504
332,504
64,508
304,508
